"","diet","time.at.reed","attitudes.killing","commons.freq","commons.veggie.good","commons.vegan.good","attitudes.products","attitudes.env","attitudes.veggie.health","attitudes.vegan.health","attitudes.protein","attitudes.culture","attitudes.longform","commons.pigday","commons.veggie.consistent","commons.vegan.consistent","commons.respect","commons.longform"
"1","I eat meat sparingly",6,1,"Several times a week",3,3,1,5,2,2,2,4,"","Agree",3,3,3,""
"2","I regularly eat meat",6,4,"I eat most of my meals at Commons",1,1,4,5,2,2,4,4,"","Meh.",4,4,4,""
"3","I eat meat sparingly",6,1,"Several times a week",4,4,1,5,4,3,3,3,"","Meh.",5,5,3,""
"4","vegan straight edge",4,4,"Several times a week",1,1,5,5,3,3,1,1,"","Strongly agree",1,1,1,""
"5","I am vegetarian",4,4,"I eat most of my meals at Commons",4,3,3,5,5,4,1,2,"I am vegetarian because the environmental devastation wrought by meat production is unconscionable and by far the easiest change we can make for the impact, as individuals. This often makes me eat vegan by default, but I'm not against non-slaughterhouse animal agriculture because it is substantially less harmful and because I have been a serious athlete for long enough that I know strict veganism would be (not impossible, but) a serious drain on my time and possibly my energy. I changed my eating habits (and haven't ""cheated"" once in the almost 8 years since the switch) because I knew that my strict adherence to a vegetarian diet would change my family's eating habits, which it has, and that has a much greater impact than my going vegan would have because they would not have shifted their diets in tandem with mine.","Agree",3,3,4,"I am vegetarian because the environmental devastation wrought by meat production is unconscionable and by far the easiest change we can make for the impact, as individuals. This often makes me eat vegan by default, but I'm not against non-slaughterhouse animal agriculture because it is substantially less harmful and because I have been a serious athlete for long enough that I know strict veganism would be (not impossible, but) a serious drain on my time and possibly my energy. I changed my eating habits (and haven't ""cheated"" once in the almost 8 years since the switch) because I knew that my strict adherence to a vegetarian diet would change my family's eating habits, which it has, and that has a much greater impact than my going vegan would have because they would not have shifted their diets in tandem with mine."
"6","I regularly eat meat",8,4,"Several times a week",4,3,2,4,3,3,2,2,"Taste and convenience or availability","Meh.",3,3,3,"Taste and convenience or availability"
"7","I do not eat dairy, pork, or shellfish",2,2,"Several times a week",3,2,2,3,1,2,4,4,"","I don't know what you are talking about",3,2,3,""
"8","I am vegetarian",6,2,"I eat most of my meals at Commons",2,2,2,5,3,2,3,1,"","Meh.",2,3,3,""
"9","I eat meat sparingly",8,2,"I eat most of my meals at Commons",1,1,2,4,2,2,3,3,"It is honestly hard enough for me to eat without putting limitations on what is and is not acceptable for me to consume. Sometimes I think that I might consider going vegan or at least vegetarian if I didn't feel such anger and pressure from those who are supposedly encouraging me to do so. When I do something it needs to be my choice and something that is good for my body and mental health and being judged based on my attempts, failures, or decision not to to go without meat is not any of those. ","Agree",4,3,2,"It is honestly hard enough for me to eat without putting limitations on what is and is not acceptable for me to consume. Sometimes I think that I might consider going vegan or at least vegetarian if I didn't feel such anger and pressure from those who are supposedly encouraging me to do so. When I do something it needs to be my choice and something that is good for my body and mental health and being judged based on my attempts, failures, or decision not to to go without meat is not any of those. "
"10","I am vegan",6,5,"Once a week or less",4,4,4,5,5,5,1,3,"In addition to the environment (#1 concern), health, and animal welfare: food safety (salmonella comes only from animal products, for example), and worker safety (it's basically still The Jungle in meat packaging plants as far as workers' rights go).","Strongly agree",2,2,3,"In addition to the environment (#1 concern), health, and animal welfare: food safety (salmonella comes only from animal products, for example), and worker safety (it's basically still The Jungle in meat packaging plants as far as workers' rights go)."
"11","I am vegan",4,5,"I eat most of my meals at Commons",3,3,5,5,3,3,1,2,"I come from a poor household, and a vegan diet has been much cheaper for me than a non-vegan diet.","Strongly agree",3,2,1,"I come from a poor household, and a vegan diet has been much cheaper for me than a non-vegan diet."
"12","I regularly eat meat",6,1,"Several times a week",2,2,1,4,3,3,3,4,"","Strongly disagree",3,3,4,""
"13","I am vegetarian",8,1,"Several times a week",4,3,1,5,2,2,5,1,"","Meh.",5,3,5,""
"14","I am pescetarian.",8,1,"Several times a week",2,1,2,5,3,1,4,1,"I believe that eating animals  is morally fine but the ways in which we (as a society) choose to do it are ethically unsound.","I don't know what you are talking about",1,1,2,"I believe that eating animals  is morally fine but the ways in which we (as a society) choose to do it are ethically unsound."
"15","don't buy meat (eat it at the scrounge)",6,4,"Several times a week",4,3,3,4,3,3,2,3,"price","Meh.",4,3,3,"price"
"16","I regularly eat meat",6,4,"I eat most of my meals at Commons",4,2,2,4,2,1,5,3,"","Agree",5,5,3,""
"17","I am vegan",2,5,"Once a week or less",3,2,5,5,4,4,1,1,"","Strongly agree",4,2,2,""
"18","I am vegan",2,3,"I eat most of my meals at Commons",2,2,2,4,3,3,2,3,"","Agree",2,1,2,""
"19","I am vegan",4,5,"I eat most of my meals at Commons",4,3,3,5,4,4,1,3,"Ethical concerns regarding treatment of other living things, propogation of ideologies that harm my body, other people's bodies, animals, and the world. Environmental degradation and disrespect for subsistence.","Strongly agree",4,3,4,"Ethical concerns regarding treatment of other living things, propogation of ideologies that harm my body, other people's bodies, animals, and the world. Environmental degradation and disrespect for subsistence."
"20","I eat meat sparingly",2,3,"At least once per a day",2,3,2,5,3,2,5,4,"","I don't know what you are talking about",4,4,5,""
"21","I regularly eat meat",2,1,"I eat most of my meals at Commons",2,1,1,4,3,1,5,5,"It (meat) tastes super good.","Strongly disagree",5,5,5,"It (meat) tastes super good."
"22","I am vegetarian",6,2,"Never",2,1,2,4,3,2,3,1,"cost, what is hippest, most hip, cheapest. there's a typo in your questionnaire. ","Meh.",2,1,1,"cost, what is hippest, most hip, cheapest. there's a typo in your questionnaire. "
"23","I am vegetarian",4,4,"I eat most of my meals at Commons",3,3,2,5,4,3,2,1,"","Meh.",4,4,2,""
